year,film
2018,Al otro lado del viento
2016,The Last Film Festival
2015,Made for Each Other
2010,Alpha y Omega
2008,Crash
2009,Deadly Creatures
2008,An American Carol
2008,Palermo Shooting
2008,El último voto
2008,Elegy
2008,Sonámbulo
2008,Hell Ride
2007,Entourage (El séquito)
2005,El anillo
2006,Memory
2006,"Gnarls Barkley: Smiley Faces, Version 2"
2006,Entre la Décima con Wolf
2006,Destino al infierno
2005,9 extraños
2005,La tierra de los muertos vivientes
2005,El Cuervo 4: La plegaria maldita
2005,Americano
2004,Legacy
2004,The Keeper
2004,Estafadores
2004,The Last Ride
2004,Bad Boy's 10th Anniversary... The Hits
2004,Las Vegas
2003,Suspense
2003,The Night We Called It a Day
2002,Flatland
2002,The Groovenians
2002,Grand Theft Auto: Vice City
2002,The piano player
2002,Leo 2008
2002,24
2002,Cerco aterrador
2002,Ojos de fuego 2
2001,L.A.P.D.: Policía de Los Ángeles
2001,Ajuste de cuentas
2001,Situación Límite
2001,Tiempo límite
2000,Secuestrados
2000,Jasón y los argonautas
2000,Ciudad de corrupción
2000,Alarma en la ciudad
2000,El hereje
2000,La sombra del asesino
2000,Falsa inocencia
2000,Arena
1999,Bad City Blues
1999,The Venice Project
1999,Jesus' Son
1999,Justice
1999,El francotirador
1999,American Masters
1999,EDtv
1999,Tycus
1998,Black Dahlia
1998,Welcome to Hollywood
1998,Puff Daddy Feat. The Notorious B.I.G. & Busta Rhymes: Victory
1998,Vaya par de idiotas
1997,The Good Life
1997,Camino sin retorno
1997,La ciudad del crimen
1997,Blackout (Oculto en la memoria)
1996,La Biblia: Sansón y Dalila
1996,Space Truckers
1996,Frankie the Fly
1996,Basquiat
1996,Carried Away
1995,Hell: A Cyberpunk Thriller
1995,Shooting Gallery
1995,Waterworld
1995,Busca y destruye
1994,El sello de Satán
1994,Speed - Máxima potencia
1994,Misión explosiva
1993,Amor a quemarropa
1993,Super Mario Bros.
1993,Red Rock West
1993,Boiling Point
1992,Rabbit Ears: Annie Oakley
1992,Rabbit Ears: Jonah and the Whale
1992,Venganza escrita
1992,Nails
1992,Pasado turbulento
1991,Rabbit Ears: King Midas and the Golden Touch
1991,El ojo de la tormenta
1991,"Doble agente, doble juego"
1991,Extraño vínculo de sangre
1991,Paris Trout
1990,Camino de retorno
1990,Flashback
1989,Rabbit Ears: The Fisherman and His Wife
1989,Rabbit Ears: Thumbelina
1989,Héroes de papel
1989,Sangre roja
1989,Black Leather Jacket
1987,Rabbit Ears: The Tale of Mr. Jeremy Fisher
1987,Santabear's High Flying Adventure
1987,El cazachicas
1987,Running Out of Luck
1987,Directos al infierno
1987,Rabbit Ears: The Tale of Peter Rabbit
1987,El caso de la viuda negra
1986,Hoosiers: más que ídolos
1986,Terciopelo azul
1986,Instinto sádico
1986,La matanza de Texas 2
1986,Reflejo de muerte
1986,Los viajeros de la tormenta
1985,¿Quién dice locos?
1985,A Hero of Our Time
1985,Rabbit Ears: The Steadfast Tin Soldier
1985,Mi proyecto científico
1985,Stark
1984,Conflicto en el norte
1983,White Star
1983,Clave: omega
1983,La ley de la calle
1982,Human Highway
1981,Renacer
1981,King of the Mountain
1980,Caído del cielo
1980,Wild Times
1979,El cielo se cae
1979,Apocalypse Now
1978,Alta prioridad
1978,Couleur chair
1977,Les apprentis sorciers
1977,El amigo americano
1976,Huellas
1976,Mad Morgan
1973,Kid Blue
1972,Crush Proof
1971,The Last Movie
1969,Valor de ley
1969,Easy Rider: Buscando mi destino
1968,Cometieron dos errores
1968,Panic in the City
1967,Valle de pasiones
1967,The Guns of Will Sonnett
1967,Los gloriosos Stompers
1967,La leyenda del indomable
1967,El viaje
1967,Hazañas bélicas
1966,El túnel del tiempo
1966,Planeta sangriento
1966,The Legend of Jesse James
1965,Court Martial
1965,Convoy
1965,Los cuatro hijos de Katie Elder
1965,La ley del revólver
1964,Screen Test: Dennis Hopper
1964,The Thirteen Most Beautiful Boys
1964,Bonanza
1964,Tarzan and Jane Regained... Sort of
1964,El teniente
1964,Arresto y juicio
1964,Expreso a Petticoat
1963,El mayor espectáculo del mundo
1963,Espionage
1962,Los defensores
1963,Caravana
1963,The Dakotas
1963,La dimensión desconocida
1962,Rompeolas
1962,Expectación
1961,Los investigadores
1961,87th Precinct
1961,Marea nocturna
1961,La ciudad desnuda
1960,Barbara Stanwyck
1960,Cuando el hampa dicta su ley
1960,El millonario
1960,The Betty Hutton Show
1959,Identificación criminal
1959,The Young Land
1958,El hombre del rifle
1958,Zane Grey
1958,Pursuit
1958,Swiss Family Robinson
1958,Decision
1958,Studio One
1958,Del infierno a Texas
1957,Sayonara
1957,La historia de la humanidad
1957,Sugarfoot
1957,Lux Video Theatre
1957,Duelo de titanes
1957,Conflict
1956,Cheyenne
1956,Gigante
1956,The Kaiser Aluminum Hour
1956,Antología
1956,Matinee Theatre
1956,Kings Row
1955,He muerto miles de veces
1955,Rebelde sin causa
1955,Letter to Loretta
1955,Public Defender
1955,Médico
1954,Cavalcade of America
